IQ,ParentSupport,SES,AttendUni,Count
1,0,1,1,4
1,0,1,0,349
1,0,2,1,2
1,0,2,0,232
1,0,3,1,8
1,0,3,0,166
1,0,4,1,4
1,0,4,0,48
1,1,1,1,13
1,1,1,0,64
1,1,2,1,27
1,1,2,0,84
1,1,3,1,47
1,1,3,0,91
1,1,4,1,39
1,1,4,0,57
2,0,1,1,9
2,0,1,0,207
2,0,2,1,7
2,0,2,0,201
2,0,3,1,6
2,0,3,0,120
2,0,4,1,5
2,0,4,0,47
2,1,1,1,33
2,1,1,0,72
2,1,2,1,64
2,1,2,0,95
2,1,3,1,74
2,1,3,0,110
2,1,4,1,123
2,1,4,0,190
3,0,1,1,12
3,0,1,0,126
3,0,2,1,12
3,0,2,0,115
3,0,3,1,17
3,0,3,0,92
3,0,4,1,9
3,0,4,0,41
3,1,1,1,38
3,1,1,0,54
3,1,2,1,93
3,1,2,0,92
3,1,3,1,148
3,1,3,0,100
3,1,4,1,224
3,1,4,0,55
4,0,1,1,10
4,0,1,0,67
4,0,2,1,17
4,0,2,0,79
4,0,3,1,6
4,0,3,0,42
4,0,4,1,8
4,0,4,0,17
4,1,1,1,49
4,1,1,0,43
4,1,2,1,119
4,1,2,0,59
4,1,3,1,198
4,1,3,0,73
4,1,4,1,414
4,1,4,0,54
